ID,Genero,Ocupación,Plan_Internacional,Min_En_Dia,Min_Internacionales,Reclamos,Llamadas_Internacionales,Desafiliado
500,Masculino,Negocios,no,175.2,7.5,1,2,no
501,Masculino,Proyectos personales,no,114.3,12.6,3,7,no
502,Femenino,Proyectos personales,no,251.4,7.5,1,5,no
503,Femenino,Proyectos personales,si,216.9,17.5,1,5,si
504,Masculino,Educación,si,217.2,9.3,0,3,no
505,Masculino,Negocios,no,206.3,12.4,0,12,no
506,Masculino,Negocios,no,159.3,11.1,1,5,no
507,Femenino,Educación,no,143.1,11.4,2,5,no
508,Masculino,Negocios,no,154,5.6,3,2,si
509,Masculino,Otros,no,186.6,11.6,1,5,no
510,Femenino,Educación,no,170.8,9.6,5,5,si
511,Femenino,Otros,no,124,12.3,1,3,no
512,Femenino,Proyectos personales,no,198.3,14.8,3,8,no
513,Masculino,Educación,no,172.8,9.1,2,8,no
514,Femenino,Negocios,no,217.4,6.6,0,3,no
515,Femenino,Otros,si,265.9,14,0,12,si
516,Masculino,Otros,no,93.6,17.5,1,5,no
517,Femenino,Proyectos personales,no,98.2,7.6,2,1,no
518,Masculino,Proyectos personales,no,214.7,9.4,2,4,no
519,Femenino,Otros,no,168.2,12.9,1,3,no
520,Femenino,Negocios,no,202.9,9,3,3,no
521,Femenino,Educación,no,261.4,11.6,1,2,no
522,Femenino,Otros,no,73.3,8.2,4,3,si
523,Femenino,Otros,no,253.7,9.2,7,5,no
524,Masculino,Educación,no,45,9.8,2,6,no
525,Masculino,Negocios,no,231.3,13,1,6,no
526,Masculino,Negocios,no,47.4,10.5,2,8,no
527,Masculino,Otros,no,227.4,12.5,0,3,no
528,Femenino,Negocios,no,40.9,11.9,0,7,no
529,Femenino,Educación,no,124.8,8.6,2,4,no
530,Femenino,Proyectos personales,si,68.5,12.1,0,9,no
531,Masculino,Educación,no,163.5,7.8,2,4,no
532,Masculino,Otros,no,163,6.7,2,3,no
533,Masculino,Negocios,no,213.7,10.7,2,5,no
534,Femenino,Educación,no,201.3,5.4,1,3,no
535,Femenino,Educación,no,310.4,9.2,4,10,no
536,Femenino,Otros,no,48.4,18.2,1,1,no
537,Masculino,Proyectos personales,no,171.2,14,1,6,no
538,Femenino,Negocios,no,166.5,8.5,0,3,no
539,Masculino,Proyectos personales,no,216.6,12.4,0,8,no
540,Masculino,Educación,no,107.8,9.9,2,3,no
541,Femenino,Proyectos personales,no,141.3,7.8,1,2,no
542,Masculino,Negocios,no,209.9,6.6,0,1,no
543,Masculino,Proyectos personales,si,237.5,14.2,9,3,si
544,Masculino,Educación,no,234.5,3.5,3,6,no
545,Femenino,Negocios,no,103.1,12.2,3,8,no
546,Femenino,Proyectos personales,no,129.5,11.9,1,3,no
547,Femenino,Proyectos personales,si,279.8,8.4,2,10,si
548,Femenino,Negocios,si,136.8,10.3,5,9,si
549,Masculino,Educación,no,100.1,5.9,0,3,no
550,Femenino,Otros,no,237.1,10.1,4,5,no
551,Masculino,Negocios,no,172.8,7.9,4,3,si
552,Masculino,Educación,no,224.5,11.5,2,2,no
553,Masculino,Negocios,no,288.1,10.2,3,4,si
554,Masculino,Otros,si,78.2,10.1,2,6,no
555,Femenino,Educación,no,148.7,12.7,2,6,no
556,Masculino,Negocios,no,194.6,13.1,2,2,no
557,Femenino,Otros,no,159.5,12,0,4,no
558,Femenino,Educación,no,194.5,9.5,1,2,no
559,Masculino,Educación,no,174.1,8.3,2,5,si
560,Femenino,Negocios,no,131.8,7.7,2,6,no
561,Femenino,Educación,no,160.6,10.7,1,1,no
562,Masculino,Proyectos personales,no,146.8,7.2,0,7,no
563,Masculino,Otros,no,200.7,9.1,1,5,no
564,Masculino,Educación,no,145.6,10.9,1,5,no
565,Masculino,Educación,no,229.4,8,2,1,no
566,Femenino,Negocios,no,211,4.7,3,4,no
567,Masculino,Educación,no,121.5,11.3,2,5,no
568,Femenino,Negocios,si,216,3.6,2,7,no
569,Femenino,Otros,no,293,10,2,6,no
570,Masculino,Educación,si,221.1,15.4,2,4,si
571,Masculino,Otros,no,181.5,10.3,1,2,no
572,Femenino,Educación,no,74.3,14.5,2,3,no
573,Masculino,Proyectos personales,si,62.3,10.8,1,3,no
574,Femenino,Otros,no,228.6,9,3,1,no
575,Femenino,Educación,no,228.1,9.9,2,5,si
576,Masculino,Educación,no,309.9,14.2,1,2,no
577,Masculino,Otros,no,201.9,13.7,3,6,no
578,Femenino,Educación,no,149.8,11.7,2,4,no
579,Femenino,Proyectos personales,no,183.8,7.7,1,3,no
580,Femenino,Negocios,no,186.7,16.5,1,4,no
581,Femenino,Educación,no,209.4,7.4,1,2,si
582,Masculino,Proyectos personales,no,223.2,10.2,3,3,no
583,Masculino,Otros,no,164.2,10.7,1,8,no
584,Masculino,Proyectos personales,no,150.5,10.3,1,2,no
585,Femenino,Educación,no,234.2,9.8,0,6,si
586,Masculino,Proyectos personales,no,55.3,10.2,1,5,no
587,Femenino,Proyectos personales,si,221.8,8.4,1,4,no
588,Femenino,Educación,no,169.6,7.4,1,8,no
589,Masculino,Proyectos personales,no,89.7,13.5,5,11,si
590,Masculino,Otros,no,80.2,8.6,1,2,no
591,Femenino,Educación,no,218.9,11.3,2,4,no
592,Masculino,Educación,no,125.7,12.9,1,2,no
593,Femenino,Proyectos personales,no,176.3,9.6,2,1,no
594,Masculino,Educación,no,207.2,9.5,2,5,no
595,Masculino,Negocios,no,205.7,12.5,2,6,no
596,Masculino,Negocios,no,151.4,0,1,0,no
597,Masculino,Otros,no,157.5,9.6,3,4,no
598,Femenino,Proyectos personales,no,160.4,9.1,2,5,no
599,Femenino,Proyectos personales,no,159,12.3,1,5,no
600,Masculino,Otros,no,214.1,9.2,0,6,no
601,Masculino,Otros,no,102.6,9.1,2,4,no
602,Femenino,Negocios,si,159.7,13.9,0,6,si
603,Femenino,Educación,no,202.8,4.6,1,4,no
604,Masculino,Negocios,no,57.5,11.6,3,6,no
605,Femenino,Educación,no,169.9,11.4,1,7,no
606,Femenino,Educación,no,335.5,12.7,2,8,si
607,Femenino,Educación,no,139.5,13.1,0,8,no
608,Masculino,Otros,no,142.3,6.6,1,8,no
609,Femenino,Otros,no,187.8,10.6,0,5,no
610,Femenino,Otros,no,146.2,8.7,3,3,no
611,Femenino,Otros,no,231.8,11.6,3,7,no
612,Femenino,Otros,no,193.7,12.7,1,3,no
613,Masculino,Educación,no,156.4,7.7,4,6,no
614,Masculino,Negocios,si,220.7,13.2,1,6,si
615,Masculino,Negocios,no,239.8,7.3,2,1,no
616,Femenino,Otros,no,172,8,1,5,no
617,Masculino,Proyectos personales,si,128.2,8.8,2,7,no
618,Masculino,Proyectos personales,no,130.2,14,3,6,no
619,Femenino,Negocios,no,195.4,11.6,1,6,no
620,Femenino,Otros,si,293.3,14.5,0,4,si
621,Masculino,Otros,no,191.3,12.8,1,4,no
622,Masculino,Proyectos personales,no,122.4,11.5,1,3,no
623,Masculino,Otros,no,209.6,10.6,2,3,no
624,Femenino,Otros,no,215.7,7.1,3,1,no
625,Femenino,Negocios,no,161.4,5.1,0,2,no
626,Masculino,Educación,no,144.2,13.8,3,4,no
627,Femenino,Educación,si,220.2,4.1,0,2,si
628,Masculino,Otros,no,256.2,7.4,4,2,no
629,Femenino,Educación,no,112.7,6.5,1,5,no
630,Femenino,Otros,no,299.5,13.7,0,4,si
631,Femenino,Proyectos personales,no,194.8,13.9,0,4,no
632,Femenino,Educación,no,100.8,9.5,0,2,no
633,Femenino,Proyectos personales,no,82.5,4.8,3,4,no
634,Femenino,Otros,no,146.4,15.6,2,4,no
635,Femenino,Proyectos personales,no,177.9,10.8,2,6,no
636,Femenino,Negocios,no,153.5,10.2,5,7,no
637,Masculino,Educación,no,150.7,9.2,1,15,no
638,Femenino,Educación,no,180.1,7.5,0,3,no
639,Femenino,Proyectos personales,no,265.3,12.9,1,1,no
640,Masculino,Proyectos personales,no,128.6,11.4,0,2,no
641,Masculino,Otros,no,161.5,7.9,2,4,no
642,Masculino,Otros,no,165.3,9.8,1,3,no
643,Femenino,Otros,no,195,11,0,13,no
644,Masculino,Educación,no,213.8,15.6,0,7,no
645,Masculino,Proyectos personales,no,205.5,14,1,4,no
646,Femenino,Proyectos personales,no,252.9,8.5,3,4,no
647,Femenino,Proyectos personales,no,235.6,15.4,0,9,no
648,Femenino,Negocios,no,192,7.5,1,5,no
649,Femenino,Proyectos personales,no,69.1,9.1,0,4,no
650,Femenino,Otros,no,261.7,6,3,3,si
651,Masculino,Educación,no,235.5,11.5,2,4,no
652,Masculino,Proyectos personales,no,213.4,9.5,1,6,no
653,Masculino,Negocios,no,206.9,9.2,3,1,no
654,Femenino,Proyectos personales,no,263.8,8.5,3,3,no
655,Masculino,Proyectos personales,no,183.4,10.5,1,5,no
656,Masculino,Negocios,no,157.6,9.4,5,10,si
657,Masculino,Educación,no,175.6,9.3,0,4,no
658,Masculino,Negocios,no,242.5,9.3,2,2,no
659,Femenino,Otros,no,151,9.9,0,7,no
660,Masculino,Otros,no,138.1,8.3,1,2,no
661,Masculino,Otros,no,264.7,9.5,1,9,si
662,Femenino,Educación,no,282.3,12,1,4,no
663,Masculino,Negocios,no,211.2,12.3,0,2,no
664,Masculino,Educación,no,197.1,7.4,3,4,no
665,Masculino,Educación,no,205.3,7.8,1,4,no
666,Masculino,Negocios,no,181.8,9.2,2,4,no
667,Femenino,Otros,no,252,9.6,2,1,no
668,Masculino,Otros,no,193.8,9.2,0,3,no
669,Femenino,Proyectos personales,no,231.2,12.3,1,1,no
670,Femenino,Negocios,no,200.1,15.5,0,4,no
671,Femenino,Negocios,no,266.7,16.3,1,4,no
672,Masculino,Educación,no,118.1,11.9,2,6,no
673,Masculino,Negocios,no,175.3,11.8,0,5,no
674,Femenino,Educación,no,125.1,11.2,3,3,no
675,Femenino,Otros,no,176.8,7.5,1,15,no
676,Femenino,Otros,no,241.9,5.9,1,3,no
677,Femenino,Otros,no,241.2,10.6,0,4,no
678,Femenino,Negocios,no,217.1,9.4,1,4,no
679,Femenino,Proyectos personales,no,195.4,8.9,0,4,no
680,Femenino,Otros,si,222.4,8.7,1,9,si
681,Masculino,Educación,no,189.5,13.1,1,2,no
682,Femenino,Educación,no,123.1,9.3,0,5,no
683,Masculino,Proyectos personales,no,256.7,11.4,3,3,no
684,Masculino,Otros,no,159.1,6.5,1,1,no
685,Femenino,Educación,no,100.1,11.1,3,8,no
686,Masculino,Otros,no,30.9,8.6,1,7,no
687,Masculino,Otros,no,223.2,10.1,3,2,no
688,Femenino,Otros,no,187.4,12.6,1,8,no
689,Femenino,Otros,no,315.6,12.1,3,3,no
690,Femenino,Negocios,no,277.5,8.2,1,2,no
691,Masculino,Negocios,no,189.8,14.9,2,3,no
692,Masculino,Negocios,no,147.2,10.2,1,4,no
693,Femenino,Otros,no,185.8,5.7,4,7,no
694,Masculino,Negocios,no,155.4,8,3,4,no
695,Masculino,Otros,no,154.2,10.9,6,4,no
696,Masculino,Negocios,no,97.6,11.6,1,9,no
697,Femenino,Proyectos personales,no,178.8,7.5,1,3,no
698,Femenino,Otros,no,149.3,9.1,0,4,no
699,Femenino,Educación,no,206,8.4,0,11,no
700,Masculino,Proyectos personales,no,216.8,11,0,9,no
701,Masculino,Proyectos personales,no,103.3,10.7,0,3,no
702,Femenino,Proyectos personales,no,139.4,7.7,0,3,no
703,Femenino,Otros,no,191.2,14.1,1,3,no
704,Masculino,Proyectos personales,no,160,10.4,1,7,no
705,Masculino,Negocios,no,221.7,6.5,3,4,no
706,Masculino,Proyectos personales,no,62.9,8.5,1,5,no
707,Masculino,Otros,no,215.6,3.6,1,5,no
708,Femenino,Otros,no,165.3,7.6,3,7,no
709,Femenino,Educación,si,94.7,10.6,2,6,no
710,Femenino,Negocios,no,203.2,9.7,2,3,no
711,Femenino,Otros,no,195.3,12.5,3,4,no
712,Masculino,Proyectos personales,no,143.7,11.4,4,8,no
713,Masculino,Proyectos personales,no,114.4,0,2,0,no
714,Femenino,Educación,no,222.8,6.9,2,2,no
715,Masculino,Otros,no,175.9,7.3,2,5,no
716,Masculino,Educación,si,249.9,15.3,1,6,si
717,Masculino,Otros,si,234.5,11.4,2,4,no
718,Femenino,Negocios,no,210.7,7.2,1,6,no
719,Masculino,Negocios,no,182.3,9.3,1,3,no
720,Masculino,Proyectos personales,no,190.3,11.7,2,5,no
721,Femenino,Negocios,no,177.1,7.4,0,2,no
722,Femenino,Otros,no,87.2,10.9,6,5,si
723,Femenino,Educación,no,215.6,13.5,1,3,no
724,Femenino,Proyectos personales,no,137.4,14,3,11,no
725,Masculino,Proyectos personales,no,192.8,16.4,1,5,no
726,Femenino,Proyectos personales,no,149.3,11.9,2,3,no
727,Femenino,Negocios,no,143.7,7.8,1,5,no
728,Masculino,Educación,no,224.8,9.2,1,2,no
729,Femenino,Educación,no,261.2,12.7,2,5,no
730,Femenino,Educación,no,196.5,13.4,0,5,no
731,Femenino,Educación,no,271.2,11.5,3,3,si
732,Femenino,Educación,no,207.2,8,2,1,no
733,Masculino,Otros,no,300.4,7.2,2,5,no
734,Femenino,Educación,no,229.6,9.5,2,8,no
735,Femenino,Negocios,si,187.5,12.1,1,4,no
736,Femenino,Otros,si,57.1,6.5,3,6,no
737,Femenino,Negocios,no,162.1,11,5,9,si
738,Masculino,Otros,si,145,16.7,2,3,si
739,Masculino,Negocios,no,159.5,11.4,1,3,no
740,Femenino,Otros,no,190.7,8.8,1,8,no
741,Masculino,Educación,no,230.6,9.4,1,2,no
742,Masculino,Educación,no,34,11.5,0,3,no
743,Masculino,Negocios,no,193.4,11.4,5,3,no
744,Masculino,Negocios,no,202,10.4,1,6,no
745,Femenino,Educación,no,191.7,9.1,1,5,no
746,Masculino,Educación,no,161.3,6.6,1,8,no
747,Masculino,Otros,no,150.6,6.4,1,2,no
748,Femenino,Proyectos personales,no,184.6,7.8,1,1,no
749,Femenino,Educación,no,220.7,8.7,1,5,no
750,Femenino,Negocios,si,167.3,11,1,6,no
751,Femenino,Otros,no,154,8.2,3,4,no
752,Femenino,Negocios,no,121.1,10.1,0,6,no
753,Femenino,Proyectos personales,no,182.1,12.7,3,4,no
754,Femenino,Otros,no,109.6,11,2,5,no
755,Masculino,Otros,no,209.9,9.6,1,4,no
756,Masculino,Negocios,no,167.5,11.4,2,4,no
757,Femenino,Educación,no,213.9,9.8,2,14,no
758,Femenino,Educación,no,115.8,13.1,1,5,no
759,Masculino,Negocios,no,276.6,9.8,2,6,no
760,Femenino,Negocios,no,179.4,9.5,2,4,no
761,Femenino,Educación,no,187.3,10.1,1,5,no
762,Femenino,Otros,no,201.2,8.4,2,3,no
763,Masculino,Otros,si,189.6,1.3,1,6,no
764,Femenino,Otros,no,186.8,15,0,5,no
765,Masculino,Educación,no,153.5,11.4,0,4,no
766,Masculino,Proyectos personales,no,187.6,8.7,2,6,no
767,Femenino,Educación,si,230.9,11,0,2,si
768,Femenino,Otros,no,244.9,15.2,2,4,no
769,Masculino,Educación,no,230.9,9.7,3,2,no
770,Femenino,Negocios,no,187.1,11,1,3,no
771,Masculino,Otros,no,170.7,13.3,1,4,no
772,Masculino,Negocios,si,126.9,8.8,5,3,si
773,Femenino,Negocios,no,189.5,9.2,0,7,no
774,Femenino,Otros,si,176.9,7.7,1,2,si
775,Femenino,Proyectos personales,no,161.1,10.6,1,4,no
776,Femenino,Negocios,no,169.4,10.7,1,4,no
777,Femenino,Otros,no,254.4,10.5,0,4,no
778,Masculino,Negocios,si,127.7,5.8,2,4,no
779,Masculino,Proyectos personales,no,170.5,13.6,6,5,no
780,Masculino,Otros,si,219.1,10.1,2,4,no
781,Masculino,Educación,si,273.5,11,2,9,no
782,Masculino,Negocios,si,161.9,10.7,1,4,no
783,Femenino,Otros,no,241.7,9.4,1,4,no
784,Masculino,Educación,si,62.8,9.4,3,4,no
785,Femenino,Otros,no,281.1,11.2,1,9,no
786,Femenino,Proyectos personales,no,228.2,10.7,3,5,no
787,Masculino,Proyectos personales,no,209.8,11.3,0,3,no
788,Femenino,Proyectos personales,no,265.6,11.1,2,6,si
789,Femenino,Negocios,no,214.9,11.8,2,2,no
790,Masculino,Educación,no,110.5,10.5,3,3,no
791,Masculino,Proyectos personales,si,281.1,7.5,0,3,no
792,Femenino,Educación,no,137.8,14.1,2,3,no
793,Masculino,Proyectos personales,si,271.5,8.2,1,2,si
794,Masculino,Otros,no,112.8,9,2,3,no
795,Masculino,Negocios,no,187.3,15.1,1,2,no
796,Femenino,Negocios,no,197,10.8,1,4,no
797,Masculino,Educación,no,180.4,8.4,1,2,no
798,Femenino,Otros,si,148.5,14.5,1,7,si
799,Femenino,Otros,no,197.1,14.6,2,5,no
800,Masculino,Proyectos personales,no,153.7,15.9,1,5,no
801,Femenino,Proyectos personales,no,261.3,11.3,1,2,no
802,Femenino,Otros,no,246.2,9.4,1,5,no
803,Femenino,Educación,no,191,6.5,0,4,no
804,Femenino,Otros,no,208.3,12.6,1,3,no
805,Femenino,Otros,no,253,9.8,0,4,no
806,Masculino,Otros,no,202.3,6.8,0,4,no
807,Femenino,Negocios,no,174.4,10.2,0,5,no
808,Masculino,Educación,no,127.1,12.1,1,3,no
809,Femenino,Otros,si,143.5,11.3,0,3,no
810,Masculino,Negocios,no,186.9,5.8,1,3,no
811,Masculino,Educación,no,194,12.1,1,4,no
812,Masculino,Negocios,no,234.8,9.9,0,6,no
813,Femenino,Otros,no,123.7,13.1,1,4,no
814,Femenino,Proyectos personales,no,173.9,15.3,0,5,no
815,Masculino,Negocios,no,130.9,12.4,1,4,no
816,Femenino,Educación,no,314.6,5.7,2,3,si
817,Masculino,Educación,no,227.9,12.1,1,5,no
818,Masculino,Otros,no,95.5,6.6,2,6,no
819,Femenino,Otros,no,185.3,15.1,1,3,no
820,Masculino,Otros,no,146.3,13.1,1,3,no
821,Femenino,Proyectos personales,no,184,12.7,2,3,no
822,Masculino,Educación,no,105.8,13.1,0,5,no
823,Masculino,Educación,no,178,11.7,1,4,no
824,Masculino,Otros,no,149.4,10.1,1,6,no
825,Masculino,Educación,no,209.4,11.3,2,3,no
826,Masculino,Negocios,no,172.1,11.6,1,6,no
827,Femenino,Otros,si,169.3,9.4,1,9,no
828,Femenino,Proyectos personales,no,119.1,12.2,0,4,no
829,Femenino,Proyectos personales,no,194.2,5.5,2,2,no
830,Femenino,Otros,no,198.8,9.9,2,3,no
831,Femenino,Proyectos personales,si,167.7,13.4,3,1,si
832,Femenino,Proyectos personales,no,202.2,11.8,2,2,no
833,Femenino,Negocios,no,322.5,9.4,2,4,si
834,Femenino,Proyectos personales,no,216.2,10.2,0,3,no
835,Masculino,Educación,no,76.4,9.4,3,3,no
836,Masculino,Educación,no,72.7,9.9,1,3,no
837,Masculino,Educación,no,210.4,9.7,0,4,no
838,Femenino,Proyectos personales,si,127.2,8.1,0,13,no
839,Femenino,Negocios,no,201.8,11.9,1,8,no
840,Masculino,Negocios,no,219.5,16.1,1,5,no
841,Femenino,Educación,no,99.3,9,3,6,no
842,Femenino,Educación,no,239.2,10.3,5,2,no
843,Femenino,Negocios,si,120.9,11.4,2,11,no
844,Masculino,Negocios,no,224.7,15.8,1,6,no
845,Femenino,Educación,no,176.6,14.6,1,6,no
846,Femenino,Otros,no,283.9,10,1,4,no
847,Femenino,Negocios,no,180.6,10.3,1,4,si
848,Femenino,Proyectos personales,no,125.9,10.3,1,4,no
849,Femenino,Proyectos personales,no,237.6,9.1,0,9,no
850,Femenino,Otros,no,198.4,9.2,2,2,no
851,Femenino,Proyectos personales,no,274.3,10.9,0,5,no
852,Femenino,Proyectos personales,si,199.6,11,3,4,si
853,Femenino,Educación,no,217.7,9.6,3,3,no
854,Femenino,Educación,no,134.7,7.6,3,6,no
855,Femenino,Educación,no,212.7,9.7,2,13,no
856,Masculino,Otros,no,256.3,6.2,2,7,no
857,Femenino,Negocios,no,183.6,12.7,1,2,no
858,Femenino,Otros,no,176.2,9.2,1,4,no
859,Masculino,Educación,no,205,11.7,1,8,no
860,Masculino,Negocios,no,267.9,11.3,3,3,si
861,Femenino,Proyectos personales,no,179.2,9.9,2,6,no
862,Masculino,Otros,no,149.4,14.9,1,3,no
863,Femenino,Educación,no,163.6,13.1,3,3,no
864,Masculino,Negocios,no,207.6,12.4,1,13,no
865,Masculino,Negocios,no,165.4,8.9,3,4,no
866,Masculino,Otros,no,209.8,9.9,4,9,no
867,Masculino,Negocios,no,220.1,11.1,0,3,no
868,Masculino,Proyectos personales,no,141.3,8.2,1,5,no
869,Masculino,Negocios,no,196.5,4,0,7,no
870,Masculino,Educación,si,180.9,7.4,2,4,no
871,Masculino,Otros,no,105,14.9,0,5,no
872,Femenino,Proyectos personales,no,271.4,11.1,4,6,si
873,Masculino,Otros,no,206.7,10.9,1,3,no
874,Masculino,Educación,no,166.8,9.3,1,1,no
875,Masculino,Otros,no,204.9,10.4,5,3,no
876,Femenino,Educación,no,154.6,9.1,1,4,no
877,Masculino,Proyectos personales,no,127,7.5,1,2,no
878,Femenino,Educación,si,267.4,5.9,1,4,no
879,Femenino,Otros,no,281,0,1,0,no
880,Femenino,Otros,no,270.8,11.8,4,8,no
881,Masculino,Proyectos personales,no,171.2,10.2,1,7,no
882,Masculino,Negocios,no,124.1,6.7,3,8,no
883,Femenino,Otros,no,162.8,7.2,1,3,no
884,Femenino,Otros,no,146.3,8,1,12,no
885,Femenino,Otros,no,254.8,15,2,7,no
886,Masculino,Otros,no,254.9,5.4,2,3,no
887,Masculino,Otros,no,107.7,8.9,0,3,no
888,Masculino,Educación,no,158.8,7.6,1,7,no
889,Masculino,Otros,no,182.9,5.5,2,4,no
890,Femenino,Educación,no,198.5,12.4,0,5,no
891,Femenino,Proyectos personales,no,178.4,12,0,2,no
892,Masculino,Proyectos personales,no,110.9,6.2,1,5,no
893,Femenino,Proyectos personales,no,166.9,12.3,1,4,si
894,Femenino,Otros,si,244.8,10.7,2,3,no
895,Masculino,Otros,no,120.8,11.9,4,3,si
896,Femenino,Educación,no,165.3,8.5,2,3,no
897,Femenino,Negocios,no,126.7,14.4,2,7,no
898,Femenino,Otros,no,215.9,15.5,0,7,no
899,Masculino,Negocios,no,140.1,8,1,2,no
900,Femenino,Educación,no,209.9,8.7,1,7,no
901,Masculino,Negocios,si,139.8,5.5,0,6,no
902,Masculino,Otros,no,321.6,11.3,2,3,si
903,Masculino,Otros,no,166.6,8.2,7,6,no
904,Masculino,Negocios,no,214.2,5.9,0,8,no
905,Masculino,Educación,no,260,9,1,3,si
906,Femenino,Negocios,no,191.9,13.4,4,4,si
907,Masculino,Otros,no,213,13.5,0,3,no
908,Masculino,Negocios,no,118.1,16.9,1,2,no
909,Femenino,Otros,no,190.2,15,6,4,no
910,Masculino,Proyectos personales,no,82.2,5.1,0,6,no
911,Masculino,Educación,no,163.8,8.1,0,5,no
912,Masculino,Educación,no,267.8,14.4,5,11,si
913,Masculino,Otros,no,159.8,10.6,2,3,no
914,Masculino,Otros,no,214.3,10.6,1,4,no
915,Femenino,Educación,no,287.3,10.5,0,4,si
916,Femenino,Negocios,no,101.2,7.5,2,3,no
917,Femenino,Otros,no,102.8,13.2,2,5,no
918,Masculino,Otros,no,109.1,8.3,0,6,no
919,Masculino,Proyectos personales,no,215.9,5.2,1,2,no
920,Masculino,Negocios,no,203.4,11,1,4,no
921,Femenino,Negocios,no,110.1,9.2,1,2,no
922,Masculino,Educación,no,111,4.4,1,14,no
923,Masculino,Negocios,no,239.9,9.3,1,5,no
924,Femenino,Negocios,no,144.8,13.8,1,3,no
925,Femenino,Otros,no,135.4,7.9,1,4,no
926,Femenino,Educación,no,84.2,10.8,1,2,no
927,Masculino,Educación,no,209.1,14,0,6,no
928,Femenino,Negocios,no,130.1,11.4,0,5,no
929,Femenino,Proyectos personales,no,175.8,7.8,2,5,no
930,Femenino,Otros,no,241.9,6.6,1,5,no
931,Femenino,Proyectos personales,no,136.7,9.8,0,4,no
932,Masculino,Otros,no,67.7,12,1,2,no
933,Masculino,Otros,no,200.4,10,1,2,no
934,Femenino,Proyectos personales,si,125.8,14.1,1,4,si
935,Masculino,Proyectos personales,no,128.2,11.2,1,2,no
936,Masculino,Otros,no,226.3,13,4,3,no
937,Femenino,Otros,no,162.3,9.2,0,4,no
938,Femenino,Educación,no,224.4,6.7,2,2,no
939,Masculino,Negocios,no,120.5,14.3,1,2,no
940,Masculino,Educación,no,91.1,11.9,2,8,no
941,Masculino,Educación,no,168.8,15.5,0,4,no
942,Femenino,Negocios,no,153.5,6.5,2,5,no
943,Masculino,Educación,no,226.2,6.4,0,2,no
944,Femenino,Otros,no,191.9,12.6,1,2,no
945,Masculino,Educación,no,167.9,9.2,4,6,si
946,Femenino,Educación,no,180,11.5,2,6,no
947,Femenino,Educación,no,257.4,13.4,2,5,si
948,Masculino,Negocios,no,174.4,11,1,4,no
949,Femenino,Otros,no,159.7,8.4,1,3,no
950,Femenino,Educación,no,237.2,11,1,3,no
951,Femenino,Otros,no,103,7.9,1,3,no
952,Femenino,Proyectos personales,no,153.8,11.6,4,2,no
953,Masculino,Negocios,no,205.1,10.7,3,2,no
954,Femenino,Educación,no,175.7,8.6,2,3,no
955,Femenino,Educación,no,155.9,8.6,2,8,no
956,Femenino,Otros,no,154.4,10.3,0,5,no
957,Masculino,Otros,no,209.7,7.1,2,3,no
958,Masculino,Educación,si,150,9.4,0,15,no
959,Femenino,Otros,no,232.4,12.3,3,3,no
960,Masculino,Otros,no,165.4,12.8,2,5,no
961,Femenino,Negocios,no,199.2,13.3,3,3,no
962,Femenino,Negocios,no,217.6,4.2,0,3,no
963,Femenino,Negocios,no,212.1,7.7,3,2,no
964,Masculino,Proyectos personales,no,154,10.8,1,5,no
965,Femenino,Otros,no,193.8,13.3,1,2,no
966,Masculino,Otros,no,175.4,12.2,0,4,no
967,Masculino,Educación,no,152,15.7,2,5,si
968,Masculino,Negocios,no,230.2,9.2,0,3,no
969,Masculino,Negocios,no,174.9,13.5,1,3,si
970,Femenino,Proyectos personales,no,190.2,8.8,0,4,no
971,Femenino,Educación,no,176.4,11.5,1,1,no
972,Femenino,Negocios,no,160.9,5,3,5,no
973,Masculino,Educación,no,228.7,11.8,1,3,no
974,Masculino,Otros,no,144,12.3,0,2,no
975,Femenino,Otros,no,135.9,9.5,6,7,no
976,Femenino,Negocios,no,334.3,10.4,0,6,si
977,Masculino,Proyectos personales,no,130.5,13,0,6,no
978,Femenino,Negocios,no,134.2,11.8,4,2,si
979,Masculino,Otros,no,278,13.1,4,4,si
980,Masculino,Negocios,no,105.4,7.8,0,5,no
981,Masculino,Negocios,no,188.9,11.6,3,8,no
982,Femenino,Educación,no,111.8,6.9,1,4,no
983,Masculino,Otros,no,159.1,13,1,18,no
984,Femenino,Proyectos personales,no,212.4,9,1,4,no
985,Femenino,Proyectos personales,no,142.3,9.9,1,1,no
986,Masculino,Negocios,si,346.8,13.3,1,9,si
987,Masculino,Negocios,no,113.9,11.8,1,9,no
988,Femenino,Educación,si,267.9,8.3,1,2,si
989,Masculino,Negocios,no,171.4,17,3,4,no
990,Masculino,Negocios,no,275.4,13.6,1,3,no
991,Femenino,Educación,no,197.2,3.9,0,2,no
992,Masculino,Proyectos personales,no,192.6,7.9,2,2,no
993,Femenino,Otros,no,91.7,7.7,1,5,no
994,Masculino,Educación,no,126.3,9.6,0,2,no
995,Masculino,Negocios,no,251.5,10.4,3,6,no
996,Masculino,Negocios,no,190.6,7.5,1,5,no
997,Masculino,Proyectos personales,no,116.1,11.6,0,5,no
998,Femenino,Proyectos personales,no,217.3,11.3,2,3,no
999,Masculino,Otros,no,179.4,14.7,0,3,no
1000,Femenino,Negocios,no,207.7,7.9,0,3,no
1001,Masculino,Otros,no,277.3,12.8,2,4,si
1002,Masculino,Educación,no,125.3,8.4,1,4,no
